ARK;"Dénomination / Titre";Auteur;"Date de création";"Numéro d’inventaire";Collection
cl010059930;"Monsieur Arnault de Gorse, frère de l'écrivain Antoine Vincent Arnault.";"Boilly, Louis Léopold ; France";"1800 / 1900  (XIXe siècle)";"RF 1947";"Département des Peintures"
cl010059931;"Madame Nicolas Vincent Arnault, née Marie-Jacqueline Le Duc, mère de l'écrivain Antoine Vincent Arnault et tante de la seconde femme de l'artiste.";"Boilly, Louis Léopold ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 1945";"Département des Peintures"
cl010059932;"Monsieur Hubert, cousin des Le Duc, famille apparentée aux Arnault.";"Boilly, Louis Léopold ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 1951";"Département des Peintures"
cl010059933;"Jean-Antoine de Mesme (1598-1673), président au Parlement de Paris";"Champaigne, Philippe de ; France";1653;"MI 912";"Département des Peintures"
cl010059934;"Mère Angélique Arnauld (1591-1661), abbesse de Port-Royal";"Champaigne, Philippe de ; France";1654;"RF 2035";"Département des Peintures"
cl010059945;"Portrait de Jeanne de Tourbey, future comtesse de Loynes.";"Amaury-Duval, Eugène Emmanuel Pineu-Duval, dit ; France";1862;"RF 2168";"Département des Peintures"
cl010059946;"Le coucher de Desdémone. (Shakespeare, Othello, acte IV, scène 3).";"Chassériau, Théodore ; France";1849;"RF 3880";"Département des Peintures"
cl010059947;"Ariane abandonnée.";"Chassériau, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 3884";"Département des Peintures"
cl010059948;"Juives au balcon, Alger.";"Chassériau, Théodore ; France";1849;"RF 3882";"Département des Peintures"
cl010059949;"Femme de pêcheur de Mola di Gaëte embrassant son enfant.";"Chassériau, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 3923";"Département des Peintures"
cl010059951;"Le Prévôt des marchands et les échevins de la ville de Paris";"Champaigne, Philippe de ; France";"vers 1648";"MI 911";"Département des Peintures"
cl010059953;"L'entrée du théâtre de l'Ambigu-Comique à une représentation gratis.";"Boilly, Louis Léopold ; France";1819;"RF 2682";"Département des Peintures"
cl010059954;"Les amateurs d'estampes.";"Boilly, Louis Léopold ; France";1803;"RF 1721";"Département des Peintures"
cl010059968;"Énée et Didon";"Guérin, Pierre-Narcisse ; France";1802;"RF 762";"Département des Peintures"
cl010059976;"La peste";"Anonyme ; France";1748;"RF 1976 71";"Département des Peintures"
cl010059981;"Souper donné par Napoléon III en l'honneur de la reine Victoria dans l'opéra du château de Versailles, le 25 août 1855";"Lami, Eugène ; France";1829;"RF 1970 41";"Département des Peintures"
cl010059985;"Madame Rivière";"Ingres, Jean-Auguste-Dominique ; France";1805;"MI 1446";"Département des Peintures"
cl010059986;"Oedipe explique l'énigme du sphinx";"Ingres, Jean-Auguste-Dominique ; France";1808;"RF 218";"Département des Peintures"
cl010059987;"Charles Joseph Laurent Cordier (1777-1870)";"Ingres, Jean-Auguste-Dominique ; France";1811;"RF 477";"Département des Peintures"
cl010059992;"L'Aurore et Céphale";"Guérin, Pierre-Narcisse ; France";1810;"RF 513";"Département des Peintures"
cl010059994;"La Source";"Ingres, Jean-Auguste-Dominique ; France";"1850 / 1875  (3e quart du XIXe siècle)";"MI 727";"Département des Peintures"
cl010059995;"Mademoiselle Caroline Rivière";"Ingres, Jean-Auguste-Dominique ; France";1805;"MI 1447";"Département des Peintures"
cl010059996;"Vénus anadyomène";"Ingres, Jean-Auguste-Dominique ; France";1805;"MI 726";"Département des Peintures"
cl010059997;"Jupiter et Antiope";"Ingres, Jean-Auguste-Dominique ; France";1851;"RF 2521";"Département des Peintures"
cl010059998;Angélique;"Ingres, Jean-Auguste-Dominique ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 2520";"Département des Peintures"
cl010059999;"La Source";"Ingres, Jean-Auguste-Dominique ; France";1856;"RF 219";"Département des Peintures"
cl010060000;"L'esclave heureuse (L'oiseau captif tenu par sa maîtresse).";"Hilair, Jean-Baptiste ; France";"1775 / 1825  (Fin du XVIIIe siècle - début du XIXè siècle)";"RF 3052";"Département des Peintures"
cl010060001;"Paysage oriental.";"Hilair, Jean-Baptiste ; France";"1775 / 1825  (Fin du XVIIIe siècle - début du XIXè siècle)";"RF 2338";"Département des Peintures"
cl010060006;"Eugénie-Paméla Larivière (1804?-1824), soeur de l'artiste";"Larivière, Louis-Eugène ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 1750";"Département des Peintures"
cl010060009;Angélique;"Riesener, Léon ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 1970 37";"Département des Peintures"
cl010060010;"Portrait de femme en blanc";"Riesener, Henri François ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 1944 7";"Département des Peintures"
cl010060011;"Portrait de l'artiste (1767-1828)";"Riesener, Henri François ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 1960 59";"Département des Peintures"
cl010060014;"Fantassins de la Première République";"Raffet, Denis-Auguste-Marie ; France";"1840 / 1860  (Milieu du XIXe siècle)";"RF 1976 18";"Département des Peintures"
cl010060015;"L'oiseau mort, dit aussi : Un Enfant hésitant à toucher un oiseau dans la crainte qu'il ne soit mort.";"Greuze, Jean-Baptiste ; France";1800;"RF 1523";"Département des Peintures"
cl010060016;"L'Enfant à la poupée.";"Greuze, Anne-Geneviève (dite Ana) ; France";"vers 1795";"RF 1524";"Département des Peintures"
cl010060017;"La Laitière.";"Greuze, Jean-Baptiste ; France";"1750 / 1775  (3e quart du XVIIIe siècle)";"RF 1277";"Département des Peintures"
cl010060027;"Antonio Pacini (1778-1866)";"Sigalon, Xavier ; France";1823;"RF 2401";"Département des Peintures"
cl010060028;"Népomucène Lemercier (1771-1840)";"Scheffer, Henry ; France";1840;"INV 20124";"Département des Peintures"
cl010060029;"Félicité-Robert de Lamennais (1782-1854)";"Scheffer, Ary ; France";1845;"RF 1224";"Département des Peintures"
cl010060030;"Abel-François Villemain (1790-1870)";"Scheffer, Ary ; France";1855;"RF 1223";"Département des Peintures"
cl010060031;"Félicie de Fauveau (1802-1886)";"Scheffer, Ary ; France";1829;"RF 1222";"Département des Peintures"
cl010060032;"Une Chasse à courre";"Swebach-Desfontaines, Jacques-François-Joseph ; France";"1790 / 1825  (Fin du XVIIIe siècle - début du XIXè siècle)";"RF 2400";"Département des Peintures"
cl010060045;"L'Arc de triomphe et le théâtre d'Orange";"Robert, Hubert ; France";1787;"INV 7647; L 3827";"Département des Peintures"
cl010060046;"Portrait de l'artiste (1790-1855)";"Rioult, Louis Édouard ; France";1730;"INV 20023";"Département des Peintures"
cl010060055;"Pygmalion et Galatée";"Tassaert, Octave ; France";1855;"RF 2395";"Département des Peintures"
cl010060056;"Portrait d'homme";"Tassaert, Octave ; France";1840;"RF 2530";"Département des Peintures"
cl010060057;"Halte de cavaliers";"Swebach-Desfontaines, Jacques-François-Joseph ; France";"1790 / 1825  (Fin du XVIIIe siècle - début du XIXè siècle)";"RF 3053";"Département des Peintures"
cl010060059;"Portrait de l'artiste (1811-1884)";"Ravaisson, Mollien Félix ; France";1892;"RF 3784";"Département des Peintures"
cl010060067;"Jacques Gérard Milbert (1766-1840)";"Rouillard, Jean Sébastien ; France";1831;"RF 228";"Département des Peintures"
cl010060068;"La Maison carrée, les arènes et la tour Magne à Nîmes";"Robert, Hubert ; France";1787;"INV 7648; L 3828";"Département des Peintures"
cl010060092;"L'enlèvement de Psyché";"Prud'hon, Pierre-Paul ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 512";"Département des Peintures"
cl010060093;"Monsieur Vallet";"Prud'hon, Pierre-Paul ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 545";"Département des Peintures"
cl010060094;"Jacques-Rodolphe Forney";"Prud'hon, Pierre-Paul ; France";1817;"RF 1939 32";"Département des Peintures"
cl010060141;"Bouquet dans une grotte";"Saint-Jean, Simon ; France";1852;"RF 927";"Département des Peintures"
cl010060183;"Marie-Madeleine Chassériau, née Couret de la Blaquière (1791-1866), mère de l'artiste.";"Chassériau, Théodore ; France";1836;"RF 3859";"Département des Peintures"
cl010060184;"Suzanne au bain.";"Chassériau, Théodore ; France";1844;"RF 3861";"Département des Peintures"
cl010060185;"Ernest Chassériau, enfant (1823-1870), frère de l'artiste.";"Chassériau, Théodore ; France";1844;"RF 3854";"Département des Peintures"
cl010060186;"Tête d'homme.";"Chassériau, Théodore ; France";1844;"RF 3932";"Département des Peintures"
cl010060187;"Tête de vieillard.";"Chassériau, Théodore ; France";1844;"RF 3865";"Département des Peintures"
cl010060188;"Cheval blanc de profil à gauche. Étude.";"Chassériau, Théodore ; France";1844;"RF 3934";"Département des Peintures"
cl010060189;"Cavaliers arabes emportant leurs morts, après une affaire contre des spahis.";"Chassériau, Théodore ; France";1852;"RF 3888";"Département des Peintures"
cl010060190;Sapho;"Chassériau, Théodore ; France";1849;"RF 3886";"Département des Peintures"
cl010060192;"Nymphe endormie";"Tissier, Ange ; France";"1844 / 1849  (2e quart du XIXe siècle)";"RF 1982 64";"Département des Peintures"
cl010060195;"Étude de bras.";"Chassériau, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 3931";"Département des Peintures"
cl010060201;"Suzanne et les vieillards.";"Chassériau, Théodore ; France";1856;"RF 3917";"Département des Peintures"
cl010060202;"Roméo et Juliette. Esquisse. (Shakespeare, Roméo et Juliette, acte V, scène 3)";"Chassériau, Théodore ; France";1849;"RF 3920";"Département des Peintures"
cl010060203;"Le Bon Samaritain. Esquisse.";"Chassériau, Théodore ; France";1838;"RF 3860";"Département des Peintures"
cl010060204;"Hero et Léandre, dit aussi Le Poète et la Sirène.";"Chassériau, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 3873";"Département des Peintures"
cl010060205;"Benoist Chassériau (1780-1844), père de l'artiste, alors consul de France à Saint-Thomas (Antilles).";"Chassériau, Théodore ; France";1832;"RF 3852; INV 20011";"Département des Peintures"
cl010060206;"Le Christ pleurant sur Jérusalem. Esquisse.";"Chassériau, Théodore ; France";1836;"RF 3856";"Département des Peintures"
cl010060207;"Mariage juif à Constantine.";"Chassériau, Théodore ; France";1841;"RF 3893; L41.300";"Département des Peintures"
cl010060208;"Esther se parant pour être présentée au roi Assuérus, dit aussi La toilette d'Esther.";"Chassériau, Théodore ; France";1841;"RF 3900";"Département des Peintures"
cl010060209;"Le Colisée vu des jardins Farnèse.";"Corot, Jean-Baptiste Camille ; France";1826;"RF 154";"Département des Peintures"
cl010060210;"Le forum vu des jardins Farnèse.";"Corot, Jean-Baptiste Camille ; France";1826;"RF 153";"Département des Peintures"
cl010060211;"Les baigneuses de Bellinzona. Effet du soir.";"Corot, Jean-Baptiste Camille ; France";"1850 / 1875  (3e quart du XIXe siècle)";"RF 1591";"Département des Peintures"
cl010060212;"La Madeleine lisant";"Corot, Jean-Baptiste Camille ; France";1854;"RF 1592";"Département des Peintures"
cl010060216;"Charles de La Rochefoucauld, comte de Randan (1523-1562).";"Corneille de Lyon ; France";"1525 / 1550  (2e quart du XVIe siècle)";"RF 1961 10";"Département des Peintures"
cl010060217;"Buste d'homme nu, étendu sur le dos.";"Chassériau, Théodore ; France";1835;"RF 3933";"Département des Peintures"
cl010060219;"Mère Marie-Héloïse des Dix Vertus, ancelle du monastère de l'Annonciade à Boulogne-sur-Mer, née Héloïse Geneviève Gruselle.";"Corot, Jean-Baptiste Camille ; France";1852;"RF 2377";"Département des Peintures"
cl010060221;"L'atelier de Corot. Jeune femme assise devant un chevalet.";"Corot, Jean-Baptiste Camille ; France";"1850 / 1875  (3e quart du XIXe siècle)";"RF 1974";"Département des Peintures"
cl010060222;"Le passeur. Souvenir de l'étang Moutier aux environs de Montfermeil (Seine-Saint-Denis).";"Corot, Jean-Baptiste Camille ; France";1873;"RF 2670";"Département des Peintures"
cl010060223;"Homme en armure, dit aussi L'homme d'armes assis";"Corot, Jean-Baptiste Camille ; France";"1850 / 1875  (3e quart du XIXe siècle)";"RF 2669";"Département des Peintures"
cl010060224;"Pierre Forget, seigneur de Fresnes (1544-1610).";"Clouet, François ; France";1565;"RF 1941 29";"Département des Peintures"
cl010060225;"Descente de croix";"Chassériau, Théodore ; France";"1852 / 1855  (3e quart du XIXe siècle)";"RF 3906";"Département des Peintures"
cl010060226;"Portrait de jeune garçon. Le broyeur de couleurs de l'artiste.";"Chassériau, Théodore ; France";1839;"RF 3862";"Département des Peintures"
cl010060227;"Femmes au balcon, regardant un cavalier.";"Chassériau, Théodore ; France";1850;"RF 3889";"Département des Peintures"
cl010060228;"Othello et Desdémone à Venise. Othello rcontant à esdémone sa vie (Shakespeare, Othello, acte I, scène 3).";"Chassériau, Théodore ; France";1850;"RF 3897";"Département des Peintures"
cl010060230;"Combat de cavalerie";"Courtois, Jacques ; France";"1645 / 1650  (2e quart du XVIIe siècle)";"RF 540";"Département des Peintures"
cl010060235;"Le peintre Adolphe Desbrochers, enfant (1841-1902), tenant une orange.";"Corot, Jean-Baptiste Camille ; France";1845;"RF 2376";"Département des Peintures"
cl010060237;"Marie-Louise Laure Sennegon (1815-1836), plus tard Mme Philibert Baudot, nièce de l'artiste.";"Corot, Jean-Baptiste Camille ; France";1831;"RF 1965";"Département des Peintures"
cl010060238;"L'homme à l'armure, dit aussi Le chevalier.";"Corot, Jean-Baptiste Camille ; France";1868;"RF 2319";"Département des Peintures"
cl010060240;"Desdémone ou La romance du saule. Esquisse (Shakespeare, Othello, acte IV, scène 3).";"Chassériau, Théodore ; France";1844;"RF 3876";"Département des Peintures"
cl010060241;"Intérieur de harem. Esquisse.";"Chassériau, Théodore ; France";1856;"RF 3918";"Département des Peintures"
cl010060242;"Monsieur et Madame Mongez. Antoine Mongez (1747-1835), archéologue, membre de l'Académie des Inscriptions et Belles-Lettres, administrateur des Monnaies, et sa femme, née Angélique Levol( 1775-1855), peintre.";"David, Jacques-Louis ; France";1812;"MI 145";"Département des Peintures"
cl010060243;"La marquise d'Orvilliers, née Jeanne-Robertine Rilliet (1772-1862).";"David, Jacques-Louis ; France";1790;"RF 2418";"Département des Peintures"
cl010060244;"Madame Charles-Louis Trudaine, née Marie-Louis-Josèphe Micault de Courbeton (1769-1802); dit autrefois:Portrait de Madame Chalgrin.";"David, Jacques-Louis ; France";1794;"RF 670";"Département des Peintures"
cl010060251;"Portrait de Monsieur Delaval, ancien banquier et diplomate, émigré en Angleterre en 1792, ami de l'artiste.";"Danloux, Henri-Pierre ; France";1793;"RF 1545";"Département des Peintures"
cl010060263;"Danseuses mauresques à Constantine (Algérie). La danse aux mouchoirs.";"Chassériau, Théodore ; France";1849;"RF 3879";"Département des Peintures"
cl010060289;Léda;"Belle, Clément ; France";1778;"INV 2491; MR 1174";"Département des Peintures"
cl010060290;"Vase d'or, fleurs et fruits";"Monnoyer, Antoine ; France";1704;"INV 4464 bis; B 1461";"Département des Peintures"
cl010060291;"La Charité";"Blanchard, Jacques ; France";"1625 / 1650  (2e quart du XVIIe siècle)";"MNR 625";"Département des Peintures"
cl010060292;"La Sainte Famille avec sainte Élisabeth et saint Jean Baptiste";"Blanchard, Jacques ; France";"vers 1633";"INV 2606; MR 1201";"Département des Peintures"
cl010060293;"Plafond : L'Histoire sacrée";"Biennourry, Victor François Eloi ; France";"1850 / 1875  (3e quart du XIXe siècle)";"INV 20033 A bis";"Département des Peintures"
cl010060294;"Plafond : La Sculpture romaine";"Biennourry, Victor François Eloi ; France";1866;"INV 20032 A";"Département des Peintures"
cl010060295;"Plafond : L'Empire romain.";"Biennourry, Victor François Eloi ; France";1865;"INV 20033 A";"Département des Peintures"
cl010060296;"Plafond : L'Air. Éole déchaînant les vents contre la flotte troyenne.";"Blondel, Merry-Joseph ; France";1819;"INV 2625; L 3701";"Département des Peintures"
cl010060297;"Plafond : Le Soleil. La chute d'Icare.";"Blondel, Merry-Joseph ; France";1819;"INV 2624; L 3700";"Département des Peintures"
cl010060298;"La Paix.";"Blondel, Merry-Joseph ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 2626 ter; L 3821";"Département des Peintures"
cl010060299;"Plafond : La renaissance des arts en France";"Heim, François-Joseph ; France";1833;"INV 5308; C 380";"Département des Peintures"
cl010060300;"Plafond : Le triomphe de la Terre, ou de Cybèle";"Guichard, Joseph Benoît ; France";1851;"INV 2954";"Département des Peintures"
cl010060301;"États généraux de Paris, le 27 octobre 1614.";"Alaux, Jean ; France";"1838 / 1840  (2e quart du XIXe siècle)";"INV 20037; L41.1102";"Département des Peintures"
cl010060304;"La Dispute du Saint Sacrement; détail du groupe de saint Grégoire le Grand et saint Jérôme. (d'après Raphaël)";"Benouville, Léon ; France";"1848 / 1849  (2e quart du XIXe siècle)";"INV 20543";"Département des Peintures"
cl010060318;"Une soirée. Batelier amarré à la rive";"Corot, Jean-Baptiste Camille ; France";"1850 / 1875  (3e quart du XIXe siècle)";"RF 1779";"Département des Peintures"
cl010060385;"Minerve protectrice des Arts";"Boullogne, Louis II de, dit Le Jeune ; France";"1681 / 1682  (4e quart du XVIIe siècle)";"RF 1986 61";"Département des Peintures"
cl010060394;"Portrait d'un gentilhomme";"Perronneau, Jean-Baptiste ; France";"1750 / 1800  (2e moitié du XVIIIe siècle)";"RF 2012";"Département des Peintures"
cl010060441;"Madame Rousseau, femme de l'architecte Pierre Rousseau, et sa fille";"Vigée-Le Brun, Louise-Élisabeth ; France";1789;"RF 2681";"Département des Peintures"
cl010060442;"Madame Vestier ayant à ses pieds un enfant qui pince l'oreille d'un chien";"Vestier, Antoine ; France";1787;"RF 139";"Département des Peintures"
cl010060443;"Philippe Lenoir (1785-1867), collectionneur, ami de l'artiste";"Vernet, Horace ; France";1814;"RF 1938 93";"Département des Peintures"
cl010060466;"Plafond : Homère déifié, dit aussi L'apothéose d'Homère";"Balze, Jean-Paul ; France ; Balze, Raymond-Joseph-Antoine ; Dumas, Michel ; Ingres, Jean-Auguste-Dominique";1856;"INV 20039";"Département des Peintures"
cl010060467;"Paysage au troupeau.";"Allegrain, Étienne ; France";1700;"INV 2318; MR 1133";"Département des Peintures"
cl010060468;Paysage.;"Allegrain, Étienne ; France";"1700 / 1750  (1e moitié du XVIIIe siècle)";"INV 2322; MR 1135";"Département des Peintures"
cl010060469;"Plafond (compartiment central) : Poussin arrivant de Rome d'où il avait été rappelé par ordre de Louis XIII, est présenté par le cardinal de Richelieu au roi qui le nomme son premier peintre (en 1640).";"Alaux, Jean ; France";1832;"INV 2232 A; C 384";"Département des Peintures"
cl010060470;"Entrée de Louis XVIII à Paris (3 mai 1814) ; passage du cortège sur le Pont-Neuf orné d'architectures provisoires ; au fond, le Louvre";"Vernet, Antoine-Charles-Horace ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 8354";"Département des Peintures"
cl010060471;"Jean-Pierre Vico, lieutenant-colonel d’Etat-Major en 1855";"Varnier, Jules ; France";"1850 / 1875  (3e quart du XIXe siècle)";"RF 1939 9";"Département des Peintures"
cl010060472;"Madame Philippe Lenoir, née Marie-Aspasie Jousseran (1792-1874)";"Vernet, Horace ; France";1814;"RF 1938 95";"Département des Peintures"
cl010060473;"Sacrifice à l'Amour";"Vien, Joseph-Marie ; France";1786;"RF 3071";"Département des Peintures"
cl010060474;"Madame Molé-Reymond, de la Comédie italienne (1759-1833)";"Vigée-Le Brun, Louise-Élisabeth ; France";1786;"MI 694";"Département des Peintures"
cl010060475;"L'Entrée du Christ à Jérusalem";"Wampe, Bernard-Joseph (ou Wamps) ; France";"1700 / 1750  (1e moitié du XVIIIe siècle)";"RF 2517";"Département des Peintures"
cl010060477;"Vertumne et Pomone.";"Boucher, François ; France";1763;"INV 2710 bis; B 424";"Département des Peintures"
cl010060478;"Les présents du berger ou Le nid.";"Boucher, François ; France";"vers 1740";"INV 2725; MR 1210";"Département des Peintures"
cl010060479;"Les forges de Vulcain ou Vulcain présentant à Vénus des armes pour Énée.";"Boucher, François ; France";1757;"INV 2707 bis";"Département des Peintures"
cl010060480;"Céphale et l'Aurore.";"Boucher, François ; France";1764;"INV 2710; B 428";"Département des Peintures"
cl010060481;"L'Appeau, dit L'oiseau pris dans les filets.";"Boucher, François ; France";1732;"INV 2727; B 431";"Département des Peintures"
cl010060482;"Les Charmes de la vie champêtre.";"Boucher, François ; France";"1735 / 1740  (2e quart du XVIIIe siècle)";"INV 2726; MR 1211";"Département des Peintures"
cl010060483;"Vénus demandant à Vulcain des armes pour Énée.";"Boucher, François ; France";1732;"INV 2709; MR 1221";"Département des Peintures"
cl010060484;"Le Pont.";"Boucher, François ; France";1751;"RF 1963";"Département des Peintures"
cl010060485;"Le Moulin.";"Boucher, François ; France";1751;"RF 1962";"Département des Peintures"
cl010060487;"Le Sommeil de l'Enfant Jésus";"Baugin, Lubin ; France";"1640 / 1642  (2e quart du XVIIe siècle)";"INV 2436; MR 1169";"Département des Peintures"
cl010060489;"Plafond : Le Printemps, ou Zéphire et Flore couronnant de fleurs Cybèle.";"Callet, Antoine François ; France";1780;"INV 3097";"Département des Peintures"
cl010060490;"Vénus blessée par Diomède.";"Callet, Antoine François ; France";1795;"INV 3098; MR 1292";"Département des Peintures"
cl010060492;"Triomphe de Flore";"Cabanel, Alexandre ; France";1873;"INV 20339";"Département des Peintures"
cl010060493;"Loup dévorant une brebis.";"Brascassat, Jacques-Raymond ; France";1845;"INV 20047";"Département des Peintures"
cl010060494;"Rébecca recevant les présents d’Abraham";"Bourdon, Sébastien ; France";"vers 1645";"INV 2801; MR 1265";"Département des Peintures"
cl010060495;"L'Adoration des bergers";"Loir, Nicolas ; France";"1650 / 1655  (XVIIe siècle)";"INV 2803; MR 1268";"Département des Peintures"
cl010060496;"Auguste devant le tombeau d'Alexandre";"Bourdon, Sébastien ; France";"vers 1645";"INV 2810; MR 1260";"Département des Peintures"
cl010060497;"Halte de soldats";"Bourdon, Sébastien ; France";"vers 1643";"INV 2818; MR 1259";"Département des Peintures"
cl010060498;"La Terre.";"Boucher, François ; France";"après 1748";"INV 8590; L41.298; R 217";"Département des Peintures"
cl010060500;L'Aurore;"Boucher, François ; France";1739;"INV 2701";"Département des Peintures"
cl010060501;"Paphnuce libérant Thaïs";"Champaigne, Philippe de ; France";"1656 / 1657  (2e moitié du XVIIe siècle)";"INV 1150; MR 626";"Département des Peintures"
cl010060502;"Philippe de Champaigne (1602-1674), peintre, oncle de l'artiste";"Champaigne, Jean-Baptiste de ; France";1668;"INV 1142; MR 610";"Département des Peintures"
cl010060503;"Le centaure Chiron donne une leçon d’armes à Achille";"Champaigne, Jean-Baptiste de ; France";"1666 / 1669  (XVIIe siècle)";"INV 1174";"Département des Peintures"
cl010060504;"L'éducation d'Achille : la leçon d'équitation";"Champaigne, Jean-Baptiste de ; France";"1600 / 1700  (XVIIe siècle)";"INV 1175";"Département des Peintures"
cl010060506;"Danse de villageois, ou Danse villageoise.";"Cazes, Pierre-Jacques ; France";1732;"INV 3176; B 495";"Département des Peintures"
cl010060507;"La Balançoire.";"Cazes, Pierre-Jacques ; France";1732;"INV 3177; B 494";"Département des Peintures"
cl010060511;"L'Automne ou Les fêtes de Bacchus.";"Callet, Antoine François ; France";1787;"INV 3104; MR 1295";"Département des Peintures"
cl010060512;"L'Hiver ou Les Saturnales.";"Callet, Antoine François ; France";1783;"INV 3100; MR 1294";"Département des Peintures"
cl010060513;"Le massacre des Innocents.";"Champmartin, Émile Callande de ; France";"1800 / 1824  (1e quart du XIXe siècle)";"INV 20555";"Département des Peintures"
cl010060515;"Enfant au faucon";"Champaigne, Philippe de ; France";"vers 1650";"INV 1148; MR 624";"Département des Peintures"
cl010060516;"Le Christ en croix";"Champaigne, Philippe de ; France";"vers 1650";"INV 1127; MR 629";"Département des Peintures"
cl010060517;"Le songe de saint Joseph";"Champaigne, Philippe de ; France";"vers 1629";"INV 20450";"Département des Peintures"
cl010060518;"L'Apôtre saint Philippe";"Champaigne, Philippe de ; France";"vers 1649";"INV 1132; MR 628";"Département des Peintures"
cl010060519;"Le Christ mort";"Champaigne, Philippe de ; France";"1650 / 1654  (2e quart du XVIIe siècle)";"INV 1128; MR 620";"Département des Peintures"
cl010060520;"Le Christ en croix";"Champaigne, Philippe de ; France";"vers 1645";"INV 1126; MR 619";"Département des Peintures"
cl010060521;"La Cène, dite La Grande Cène";"Champaigne, Philippe de ; France";"vers 1662";"INV 1124; MR 613";"Département des Peintures"
cl010060522;"Le cardinal de Richelieu (1585-1642)";"Champaigne, Philippe de ; France";"1635 / 1640  (2e quart du XVIIe siècle)";"INV 1136; MR 622";"Département des Peintures"
cl010060523;"Les miracles de sainte Marie pénitente";"Champaigne, Philippe de ; France";"1656 / 1657  (2e moitié du XVIIe siècle)";"INV 1151; MR 627";"Département des Peintures"
cl010060524;"Translation des corps de saint Gervais et de saint Protais";"Champaigne, Philippe de ; France";"1660 / 1661  (2e moitié du XVIIe siècle)";"INV 1131; MR 616";"Département des Peintures"
cl010060525;"Hercule combat les Centaures";"Boullogne, Bon ; France";1677;"INV 2778; MR 1238";"Département des Peintures"
cl010060526;"Achille Devéria (1800-1857), peintre et graveur, ami de l'artiste";"Boulanger, Louis ; France";1837;"INV 20028";"Département des Peintures"
cl010060527;"Épisode de l'affranchissement des communes sous Louis Le Gros.";"Boulanger, Clément ; France";1835;"INV 20560";"Département des Peintures"
cl010060528;"La Force et l'Ordre.";"Chassériau, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 20017";"Département des Peintures"
cl010060529;"Les vendangeurs. Grisaille.";"Chassériau, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 20019";"Département des Peintures"
cl010060530;"Les forgerons.";"Chassériau, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 20014";"Département des Peintures"
cl010060531;"L'Étude. Grisaille.";"Chassériau, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 20015";"Département des Peintures"
cl010060533;"Grenadier de la Garde.";"Charlet, Nicolas Toussaint ; France";1842;"RF 316";"Département des Peintures"
cl010060534;"Le Buffet.";"Chardin, Jean Baptiste Siméon ; France";1728;"INV 3198; MR 1326";"Département des Peintures"
cl010060535;"La Mère laborieuse.";"Chardin, Jean Baptiste Siméon ; France";1740;"INV 3201; MR 1324";"Département des Peintures"
cl010060536;"Les Attributs des arts.";"Chardin, Jean Baptiste Siméon ; France";1765;"INV 3199; B 498";"Département des Peintures"
cl010060547;"Les Mendiants";"Bourdon, Sébastien ; France";"vers 1645";"INV 2820; MR 1267";"Département des Peintures"
cl010060548;L'Annonciation;"France ; Anonyme ; Boullogne, Louis I de, dit Le Père";"vers 1650";"INV 2766; MR 1230";"Département des Peintures"
cl010060549;"La résurrection de Lazare";"Boullogne, Bon ; France";1696;"INV 2768; B 448";"Département des Peintures"
cl010060550;"Plafond : La dispute de Minerve et de Neptune au sujet d'Athènes.";"Blondel, Merry-Joseph ; France";1822;"INV 2626; L 3820";"Département des Peintures"
cl010060551;"Plafond : La France victorieuse à Bouvines (1214).";"Blondel, Merry-Joseph ; France";1828;"INV 2627; C 368";"Département des Peintures"
cl010060552;"Plafond : La France, au milieu des rois législateurs et des juriconsultes français, reçoit de Louis XVIII la Charte constitutionnelle.";"Blondel, Merry-Joseph ; France";1827;"INV 2628; C 213";"Département des Peintures"
cl010060557;"Saint Philippe baptisant l'eunuque de la reine Candace";"Bertin, Nicolas ; France";1718;"INV 2536; MR 1191";"Département des Peintures"
cl010060558;"Hercule délivrant Prométhée";"Bertin, Nicolas ; France";1703;"INV 2537; MR 1526";"Département des Peintures"
cl010060561;"Lungezza (environs de Rome).";"Benouville, Achille ; France";1847;"INV 20588";"Département des Peintures"
cl010060563;L'Hiver;"Lancret, Nicolas ; France";1738;"INV 5600; B 704";"Département des Peintures"
